"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT14","WT16","WT17","WT18"
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-02-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-02-28",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-01",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-08",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-09",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-10",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-12",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-14",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-15",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-16",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-17",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-18",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-19",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-20",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-21",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-22",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-23",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-24",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-25",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-26",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-28",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-29",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-30",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-03-31",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-01",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-08",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-09",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-10",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-12",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-14",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-15",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-16",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-17",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-18",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-19",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-20",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-21",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-22",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-23",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-24",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-25",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-26",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-28",,,,,,,,,,,,,,,
